"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"turquoise","GO:1990806","ligand-gated ion channel signaling pathway","16/1144","26/4119",0.615384615384615,2.21570736955352,3.85573829959676,0.000314414252163274,0.0113637293834533,0.0106562632275054,"CDK5R1/CHRM3/CHRNA7/GRIA1/GRIA2/GRIA3/GRIK1/GRIK2/GRIK3/GRIN2A/GRIN2B/GRIN3A/ITPR1/MEF2C/NRXN1/PLCB1",16
"turquoise","GO:0001956","positive regulation of neurotransmitter secretion","10/1144","13/4119",0.769230769230769,2.7696342119419,3.96240084689224,0.000319965674947742,0.0113637293834533,0.0106562632275054,"CACNA1B/GPR158/KMO/MICU3/PPP3CA/SLC4A8/STX1A/STXBP1/SYT1/TACR2",10
"turquoise","GO:0007274","neuromuscular synaptic transmission","10/1144","13/4119",0.769230769230769,2.7696342119419,3.96240084689224,0.000319965674947742,0.0113637293834533,0.0106562632275054,"CHRNA1/CHRNA2/CHRNA7/CHRNB2/CHRNB3/EGR3/MYLK2/NRXN1/RIMBP2/STXBP1",10
"turquoise","GO:1903859","regulation of dendrite extension","10/1144","13/4119",0.769230769230769,2.7696342119419,3.96240084689224,0.000319965674947742,0.0113637293834533,0.0106562632275054,"BCL11A/CPNE5/CPNE8/NEDD4L/OSTN/RIMS1/RIMS2/SYT1/SYT4/UNC13A",10
"turquoise","GO:1901888","regulation of cell junction assembly","45/1144","103/4119",0.436893203883495,1.57304467377283,3.65193415818604,0.000329038141239894,0.0115666979241983,0.010846595654836,"AMIGO1/AMIGO2/ASIC2/BDNF/CBLN1/CBLN2/CHRNB2/CLSTN2/CLSTN3/CNTNAP2/CUX2/EFNA5/EPHA3/EPHA7/FLRT2/FLRT3/HOPX/HTR4/IL1RAPL2/LIN7A/LINGO2/LRFN5/LRRN3/LRRTM1/LRRTM3/LRRTM4/LRTM2/MARK1/MEF2C/NEGR1/NRXN1/PHLDB2/PRICKLE1/ROBO2/RTN4R/RTN4RL1/SLC12A5/SLITRK3/SLITRK4/SLITRK5/ST8SIA2/THY1/TPBG/VSTM5/WNT4",45
"turquoise","GO:0034762","regulation of transmembrane transport","66/1144","165/4119",0.4,1.44020979020979,3.57845891151534,0.000358320732782996,0.0124395638673869,0.0116651200088642,"AKAP5/AMIGO1/ASIC2/CACNA2D1/CACNB2/CACNG3/CALHM1/CALM3/CNIH3/CRH/CRHBP/CX3CL1/DPP10/DRD1/EDN3/FFAR4/FGF12/FGF13/FKBP1B/GNB5/GRIA1/GRIN2A/GRIN2B/HPCA/IGF1/JPH1/KCNAB1/KCNAB3/KCNC1/KCNC2/KCNG1/KCNG3/KCNIP4/KCNJ12/KCNJ3/KCNJ6/KCNS1/KCNS2/LRRC38/LRRC55/METTL21C/NEDD4L/NOS1AP/NR4A3/NTSR1/OPN3/OPRM1/OSTN/PID1/PPP3CA/PPP3CB/PPP3R1/PRKCB/PRKCE/PTPN3/RGS4/SCN5A/SLC17A8/SLC8A1/SLN/THY1/TMEM38A/TRPC3/TRPC6/TSPAN13/UBASH3B",66
"turquoise","GO:0007218","neuropeptide signaling pathway","29/1144","59/4119",0.491525423728814,1.76974931847813,3.69253823029996,0.000361090388022842,0.0124395638673869,0.0116651200088642,"ADCYAP1/CARTPT/CCKBR/GLRA2/GLRB/GPR83/GRP/HCRTR2/MCHR1/MCHR2/NMU/NPY2R/NPY5R/NTSR1/NXPH2/OPRL1/OPRM1/PENK/PNOC/PRLHR/QRFPR/SORCS1/SORCS3/SSTR1/SSTR2/SSTR4/TAC1/TAC3/TENM1",29
"turquoise","GO:0002790","peptide secretion","42/1144","95/4119",0.442105263157895,1.59181082075819,3.61849866355094,0.000379925208832646,0.0129588350933512,0.0121520632194621,"ABCA12/ACVR1C/ADCYAP1/ADRA2A/CARTPT/CHRM3/CRH/CRHBP/EDN3/EFNA5/EPHA5/FFAR4/FKBP1B/GPR68/GRP/HNF4A/HTR2C/ITPR1/KCNB1/NMU/NNAT/NOS2/NPY2R/OXCT1/PCLO/PLCB1/PPP3CB/PRKCB/PRKCE/PTPRN2/RBP4/RIMS2/SLC16A10/SNAP25/STX1A/SYBU/TACR2/TRH/TRPA1/VGF/VIP/VSNL1",42
"turquoise","GO:0060322","head development","102/1144","277/4119",0.368231046931408,1.32582489712454,3.48143402445599,0.000429546740264892,0.0145077305903191,0.0136045298851698,"AFF2/ALDH1A2/AMIGO1/AMIGO2/ASPM/BASP1/BCL11B/CA10/CALM3/CBLN1/CCDC141/CDK5R1/CENPF/CHRNB2/CITED1/CNTN4/CNTN5/CNTNAP2/CRH/DCT/DLX1/DLX2/DLX5/DLX6/DNAH5/DRD1/EGR2/ELAVL4/EPHA5/EPHA7/FGF10/FGF13/FGF9/FILIP1/FLRT3/FOXP2/FZD3/GABRB3/GPR158/GRIA1/GRIN2A/GRIN2B/HPRT1/HTR5A/HTR6/IGF1/INA/KCNA1/KCNA2/KCNC1/KCNC2/KIAA0319/LAMB1/LHX6/MACROD2/MAGEE2/MEIS3/MYH10/MYO16/NEGR1/NEUROD6/NME5/NNAT/NR4A3/NRCAM/NRG1/NRXN1/PAK1/PLCB1/PLXNA4/PRICKLE1/RARB/RELN/ROBO2/RPGRIP1L/RTN1/RTN4R/RTN4RL1/SCN5A/SEMA3A/SEMA3E/SEZ6/SEZ6L/SHH/SLC32A1/SLC4A10/SLC6A17/SLC8A3/SLIT2/SLITRK5/SPEF2/SSTR1/SYNGR3/TBR1/TOX/TRABD2A/TRNP1/TUBB2A/VAX1/WNT2/WNT4/YWHAH",102
"turquoise","GO:0001764","neuron migration","31/1144","65/4119",0.476923076923077,1.71717321140398,3.61369557111496,0.000449531189203426,0.0150352907456874,0.0140992459853379,"ASPM/CCK/CDK5R1/CHL1/CX3CL1/DCDC2/DCX/DRD1/DRGX/FAT3/FGF13/FILIP1/FLRT2/FZD3/GPM6A/IGSF10/KIAA0319/LHX6/MARK1/MEF2C/MYH10/NRCAM/NTNG1/RELN/SATB2/SEMA3A/SEMA3E/TNN/TUBB2A/UNC5D/VAX1",31
