"Gene_clean","Gene_original","Module","ENTREZID"
"ATP2B1","ATP2B1","turquoise","490"
"ATP2B2","ATP2B2","turquoise","491"
"ATP2B3","ATP2B3","turquoise","492"
"ATP4A","ATP4A","blue","495"
"ATP6V0A4","ATP6V0A4","brown","50617"
"ATP6V1A","ATP6V1A","turquoise","523"
"ATP6V1G2","ATP6V1G2","turquoise","534"
"ATP8A2","ATP8A2","turquoise","51761"
"ATP8B3","ATP8B3","brown","148229"
"ATRNL1","ATRNL1","turquoise","26033"
"AUNIP","AUNIP","turquoise","79000"
"AURKC","AURKC","brown","6795"
"AXL","AXL","blue","558"
"AZGP1","AZGP1","brown","563"
"AZU1","AZU1","brown","566"
"B3GALNT1","B3GALNT1","turquoise","8706"
"B3GALT1","B3GALT1","red","8708"
"B3GALT2","B3GALT2","turquoise","8707"
"B3GALT5","B3GALT5","red","10317"
"B3GNT4","B3GNT4","black","79369"
"B3GNT5","B3GNT5","green","84002"
"B3GNT8","B3GNT8","grey","374907"
"B4GALNT1","B4GALNT1","black","2583"
"B4GALNT3","B4GALNT3","black","283358"
"B4GALT1","B4GALT1","blue","2683"
"B4GALT6","B4GALT6","turquoise","9331"
"BAAT","BAAT","turquoise","570"
"BACE2","BACE2","blue","25825"
"BAG3","BAG3","blue","9531"
"BAI1","BAI1","black",NA
"BAMBI","BAMBI","brown","25805"
"BARX2","BARX2","turquoise","8538"
"BASP1","BASP1","turquoise","10409"
"BATF","BATF","green","10538"
"BATF2","BATF2","blue","116071"
"BAZ1A","BAZ1A","brown","11177"
"BBOX1","BBOX1","blue","8424"
"BCAM","BCAM","blue","4059"
"BCAS1","BCAS1","yellow","8537"
"BCAS4","BCAS4","turquoise","55653"
"BCAT1","BCAT1","turquoise","586"
"BCAT2","BCAT2","brown","587"
"BCL11A","BCL11A","turquoise","53335"
"BCL11B","BCL11B","turquoise","64919"
"BCL2A1","BCL2A1","blue","597"
"BCL2L10","BCL2L10","grey","10017"
"BCL2L12","BCL2L12","brown","83596"
"BCL3","BCL3","blue","602"
"BCL6","BCL6","blue","604"
"BCL6B","BCL6B","blue","255877"
"BCMO1","BCMO1","brown",NA
"BDKRB2","BDKRB2","red","624"
"BDNF","BDNF","turquoise","627"
"BEAN1","BEAN1","black","146227"
"BEGAIN","BEGAIN","black","57596"
"BEND4","BEND4","turquoise","389206"
"BEST1","BEST1","yellow","7439"
"BEST3","BEST3","brown","144453"
"BEST4","BEST4","turquoise","266675"
"BEX1","BEX1","turquoise","55859"
"BEX5","BEX5","turquoise","340542"
"BFSP1","BFSP1","turquoise","631"
"BGLAP","BGLAP","brown","632"
"BGN","BGN","blue","633"
"BHLHA9","BHLHA9","turquoise","727857"
"BHLHE22","BHLHE22","turquoise","27319"
"BHMT","BHMT","turquoise","635"
"BHMT2","BHMT2","blue","23743"
"BICC1","BICC1","turquoise","80114"
"BIN2","BIN2","green","51411"
"BIRC5","BIRC5","brown","332"
"BLNK","BLNK","green","29760"
"BLOC1S5-TXNDC5","BLOC1S5-TXNDC5","blue","100526836"
"BMF","BMF","green","90427"
"BMP1","BMP1","brown","649"
"BMP3","BMP3","turquoise","651"
"BMP4","BMP4","blue","652"
"BMP6","BMP6","blue","654"
"BMPER","BMPER","turquoise","168667"
"BMPR1B","BMPR1B","blue","658"
"BNC2","BNC2","blue","54796"
"BNIPL","BNIPL","brown","149428"
"BOC","BOC","blue","91653"
"BOK","BOK","yellow","666"
"BRCA2","BRCA2","yellow","675"
"BRDT","BRDT","grey","676"
"BRIP1","BRIP1","turquoise","83990"
